,Unnamed: 0,Desc,Laptop,Lenguaje,PuntajeL,Categoria,PuntajeC
0,0,"La Laptop Lenovo V15 G3 15.6 es una opción ideal para aquellos que buscan potencia y rendimiento en un dispositivo portátil. Con su procesador Intel Core i5 de 12ª generación y 16 GB de memoria RAM DDR4, podrás realizar múltiples tareas sin problemas y disfrutar de una experiencia fluida y rápida. Además, su capacidad de disco híbrido de 1 TB y disco SSD de 256 GB te brindan un amplio espacio de almacenamiento para guardar todos tus archivos, documentos y aplicaciones. Su pantalla de 15.6"" con resolución Full HD te permitirá disfrutar de imágenes nítidas y colores vibrantes. La Laptop Lenovo V15 G3 15.6 también cuenta con gráficos Intel Iris Xe, lo que garantiza una calidad visual excepcional en tus juegos y contenido multimedia. Su diseño en color gris hierro le da un toque elegante y sofisticado. Además, su batería de polímero de litio te brinda una gran autonomía para que puedas trabajar o disfrutar de tu entretenimiento sin preocuparte por quedarte sin energía. Conectividad completa con puertos DisplayPort, Ethernet (RJ-45), HDMI, SD y USB-C. El sistema operativo FreeDOS te brinda la libertad de instalar el sistema operativo de tu elección. La Laptop Lenovo V15 G3 15.6 es la compañera perfecta para aquellos que buscan un equilibrio entre rendimiento, almacenamiento y diseño en un dispositivo portátil.",Lenovo,técnico,0.522105872631073,negocios,0.35410356521606445
1,1,"La laptop Lenovo V-Series V15 G3 fue pensada para hacer tu vida más sencilla. Su diseño elegante e innovador y su comodidad para transportarla, la convertirá en tu PC favorita. Cualquier tarea que te propongas, ya sea en casa o en la oficina, la harás con facilidad gracias a su poderoso rendimiento.Eficiencia a tu alcanceSu procesador Intel Core i5 de 10 núcleos, está pensado para aquellas personas generadoras y consumidoras de contenidos. Con esta unidad central, la máquina llevará a cabo varios procesos de forma simultánea, desde edición de videos hasta retoques fotográficos con programas profesionales.Un procesador exclusivo para los gráficosSu tarjeta gráfica Intel UHD Graphics convierte a este dispositivo en una gran herramienta de trabajo para cualquier profesional del diseño. Te permitirá lograr una gran performance en todos tus juegos y en otras tareas cotidianas que impliquen procesamiento gráfico.",Lenovo,natural,0.6248249411582947,videojuegos,0.6394304633140564
2,2,"La Laptop HP Core i5 1235u es la elección perfecta para aquellos que buscan un rendimiento excepcional y una experiencia informática fluida. Con su procesador Intel Core i5 y 16 GB de memoria RAM DDR4, podrás realizar múltiples tareas sin problemas y ejecutar aplicaciones exigentes con facilidad. Además, su disco SSD de 512 GB te brinda un amplio espacio de almacenamiento para tus archivos, programas y juegos favoritos.Con una pantalla de 14"" y una resolución de 1366 px x 768 px, disfrutarás de imágenes nítidas y colores vibrantes en cada detalle. Además, su frecuencia de actualización de 60 Hz garantiza una reproducción suave de videos y juegos. Y gracias a la tarjeta gráfica Intel Iris Xe Graphics, podrás disfrutar de un rendimiento gráfico impresionante.Esta laptop HP también destaca por su diseño elegante en color negro, que se adapta a cualquier estilo y entorno. Además, su peso ligero de 1.47 kg y su delgadez de 1.99 cm la hacen perfecta para llevarla contigo a donde quieras.Conectividad sin límites es lo que ofrece esta laptop, con puertos USB-A 3.0, USB-C 3.0 y HDMI, podrás conectar tus dispositivos y periféricos fácilmente. Además, cuenta con Bluetooth, Wi-Fi y puerto Ethernet para una conexión rápida y estable a internet.Y no podemos olvidar mencionar su pantalla antirreflejo, que te permite trabajar o disfrutar de tus contenidos favoritos sin molestos reflejos. Además, su cámara web HD y micrófono integrado te brindan una excelente calidad de videoconferencias y llamadas.En resumen, la Laptop HP Core i5 1235u es una poderosa herramienta que combina rendimiento, diseño y conectividad en un solo dispositivo. No pierdas la oportunidad de adquirir esta laptop de alta calidad y lleva tu experiencia informática al siguiente nivel.Aviso legal• La duración de la batería depende del uso que se le dé al producto.",Hp,técnico,0.5575007796287537,personal,0.40016141533851624
3,3,"PRODUCTO:Nombre: Laptop HP 14-dq5014la I5-1235U RAM 8GB 256GB SSD Windows 11Marca: HPDESCRIPCIÓN:Esta laptop HP de 14"" se diseñó para mejorar la productividad y el entretenimiento, con un diseño delgado y ligero. Disfruta de imágenes vívidas y sin parpadeos en una pantalla con microbordes y supera tus días más ocupados con el procesador Intel® CoreTM y el abundante espacio de almacenamiento. Mantente conectado todo el día gracias a la larga duración de la batería y la tecnología HP Fast Charge.CARACTERÍSTICAS PRINCIPALES: - Almacenamiento interno Unidad de estado sólido PCIe® NVMeTM M.2 de 256 GB- Aplicaciones HP HP Audio Switch; Documentación de HP; Juegos HP por WildTangent; HP JumpStart; HP Setup OOBE integrado; HP SSRM; HP Support Assistant; HP Connection Optimizer; Configuración de privacidad de HP; Protección de BIOS HP- Brillo 250 nits- Caché de procesador 12 MB L3- Cámara Web Cámara HP True Vision 720p HD con reducción de ruido temporal y micrófonos digitales de matriz dual integrados- Certificado Energy Star Certificación ENERGY STAR®- Chipset SoC integrado Intel®- Código UNSPSC 43211503- Color Plateado natural- Diseño de memoria 2 x 4 GB- Diseño de productos Base y cubierta con acabado pintado, marco del teclado con patrón de cepillado vertical- Duración de la batería Dura hasta 8 horas y 30 minutos- Duración de la batería para reproducción de video Hasta 11 horas- Especificaciones de impacto sustentable Teclas del teclado fabricadas con plástico reciclado posconsumo- Familia del procesador Procesador Intel® CoreTM i5 de 12.a generación- Funciones de audio Dos altavoces- Gestión de seguridad Compatibilidad con Trusted Platform Module (TPM de firmware)- Inalámbrico Combinación de Realtek Wi-Fi® RTL8821CE-M 802.11a/b/g/n/ac (1x1) y tarjeta inalámbrica Bluetooth® 4.2- Memoria 8 GB de RAM DDR4-3200 MHz (2 x 4 GB)- Nota sobre la red inalámbrica Compatible con MU-MIMO; Modo de espera moderno (conectado); Compatible con Miracast®- Núcleo del procesador 10- Pantalla Pantalla HD (1366 x 768), de 14"" (35,6 cm) en diagonal, BrightView, con microbordes, 250 nits y 45 % de NTSC- Pantalla táctil No- Peso de la batería 210 g- Procesador Intel® CoreTM i5-1235U (hasta 4,4 GHz con tecnología Intel® Turbo Boost, 12 MB de caché L3, 10 núcleos y 12 subprocesos)- Ranuras de expansión 1 lector de tarjetas SD multiformato- Relación ancho-alto 16:9- Relación pantalla-cuerpo (sin los altavoces) 79.08%- Servicios en la nube Almacenamiento en Dropbox de 25 GB durante 12 meses- Sin oscilaciones Sí- Sistema operativo Windows 11 Home Single Language- Software - productividad y finanzas 1 mes de prueba para los nuevos clientes de Microsoft 365- Software incluido McAfee LiveSafeTM; Oferta de prueba gratuita de 1 mes de Adobe- Software preinstalado ExpressVPN (prueba gratuita de 30 días); LastPass Premium (prueba gratuita de 30 días)- Tamaño de pantalla (diagonal) 35,6 cm (14"")- Teclado Teclado de tamaño completo color plata natural- Tiempo de recarga de la batería Admite carga rápida de la batería: aproximadamente un 50 % en 45 minutos- Tipo de almacenamiento Unidad de estado sólido- Tipo de batería Iones de litio de 3 celdas y 41 Wh- Tipo de fuente de alimentación Adaptador de alimentación de CA inteligente de 45 W CARACTERÍSTICAS FÍSICAS:Peso del paquete: 1.92 kgMedidas: 30 cm x 6 cm x 48 cm cmModelo: 8W380LAColor: PlateadoNombre de color: PlateadoResolución de pantalla: FHD (1920 x 1080)Tamaño de pantalla: 14Tamaño de memoria RAM: 8Unidad de memoría RAM: GbMarca del procesador: IntelUnidad de velocidad del procesador: GHzCapacidad del disco duro: 256Unidad del tamaño de disco duro: GbTipo de disco duro: SSDPuertos HDMI: 1Unidad del tamaño de RAM de la tarjeta gráfica: GbSistema Operativo: Windows 11 HomeSKU: NT015HPR94Aviso legal• La duración de la batería depende del uso que se le dé al producto.",Hp,natural,0.8346763253211975,personal,0.3909570276737213
4,4,"La Laptop HP 240 G10 14' es una máquina potente y elegante, equipada con un procesador Intel Core i7-1355U y 16GB de RAM DDR4 SDRAM a una velocidad de 3200 MHz, lo que garantiza un rendimiento excepcional. Su almacenamiento es de 512GB en un disco SSD, que proporciona una velocidad de lectura y escritura increíblemente rápida. La pantalla de 14 pulgadas con resolución de 1366 x 768 ofrece una calidad de imagen HD, perfecta para trabajar o ver contenido multimedia. Además, cuenta con una tarjeta gráfica Intel Iris Xe Graphics que mejora la experiencia visual. Su peso ligero de 1.36kg y su color Plata Ceniza Oscuro le dan un aspecto sofisticado. Este modelo no es 2 en 1, ni gamer, ni netbook, ni ultrabook, pero sí incluye características como teclado retroiluminado, Bluetooth, HDMI, micrófono, USB, cámara web y Wi-Fi. No incluye lápiz, puerto ethernet, lector de huella digital, salida para auriculares, lector de tarjeta de memoria, pad numérico, pantalla retina ni pantalla táctil. Viene con el sistema operativo Windows 11 Pro.Aviso legal• La duración de la batería depende del uso que se le dé al producto.",Hp,técnico,0.7295036911964417,negocios,0.4756779670715332
5,5,"Disfruta de la perfecta combinación de rendimiento y diseño con esta laptop Asus TUF Gaming TUF DASH FX517ZE-BS74. Encontrarás en ella una excelente herramienta para tus trabajos de todos los días y para tus momentos de entretenimiento. Aprovecha la experiencia extraordinaria que la marca tiene para ofrecerte y optimiza la calidad de tus imágenes y videos.Pantalla con gran impacto visualSu pantalla de 15.6"" y 1920x1080px de resolución te brindará colores más vivos y definidos. Tus películas y series preferidas cobrarán vida, ya que ganarán calidad y definición en cada detalle. Alta eficiencia a tu alcanceSu procesador Intel Core i7 de 10 núcleos, está pensado para quienes buscan la máxima exigencia en la productividad. Está destinado a personas que trabajan con programas de diseño, de edición o tienen un nivel de juego alto. Llevará a cabo varios procesos de forma simultánea, sin frenos y te brindará una experiencia excepcional.Un procesador exclusivo para los gráficosSu tarjeta gráfica NVIDIA GeForce RTX 3050 convierte a este dispositivo en una gran herramienta de trabajo para cualquier profesional del diseño. Te permitirá lograr una gran performance en todos tus juegos y en otras tareas cotidianas que impliquen procesamiento gráfico.Aviso legal• La duración de la batería depende del uso que se le dé al producto.",Asus,técnico,0.6494269371032715,videojuegos,0.5332057476043701
6,6,"La MacBook Pro es la laptop más poderosa de Apple, creada para quienes se proponen nuevos desafíos y logran cosas imposibles. Tiene una pantalla envolvente, procesadores superrápidos, gráficos de última generación, un nuevo teclado Magic Keyboard y un increíble espacio de almacenamiento.Eficiencia a tu alcanceSu procesador Apple M2 Pro, te permitirá ejecutar programas variados y procesos indispensables para desenvolverte en el día a día, ya sea en tu trabajo o en los momentos de ocio en tu hogar. ",Macbook,natural,0.60347580909729,negocios,0.5925964713096619
7,7,"La Laptop Gamer Lenovo Loq Intel Core I5 12a Gen es un portátil de alto rendimiento diseñado para los amantes de los videojuegos. Equipado con un procesador Intel Core i5, proporciona la velocidad y eficiencia que necesitas para una experiencia de juego inigualable. Con 8GB de memoria RAM y 512GB SSD de capacidad, ofrece un amplio espacio para almacenar tus juegos y archivos, manteniendo la laptop ágil y rápida. La pantalla de 15.6"" proporciona imágenes nítidas y colores vivos, sumergiéndote en tus juegos como nunca antes. Además, su sonido envolvente añade un toque de realismo a tu experiencia de juego.Aviso legal• La duración de la batería depende del uso que se le dé al producto.",Otro,técnico,0.7693719267845154,videojuegos,0.7628506422042847
8,8,"PRODUCTO:Nombre: Laptop HP Envy x360 15-fe0001la I7-1355U 16GB 1TB RTX3050Marca: HPDESCRIPCIÓN:La laptop HP Envy x360 2 en 1 mejora tu trabajo o tu tiempo de inactividad de todas las formas posibles, con una pantalla táctil de respuesta mejorada, un audio increíble y una tecnología de colaboración avanzada, todo ello respaldado por un diseño con materiales reciclados, una gran potencia y todas las aplicaciones y funciones de seguridad que necesitas para ser imparable.CARACTERÍSTICAS PRINCIPALES: - Almacenamiento interno Unidad de estado sólido (SSD) PCIe® NVMeTM M.2 de 1 TB- Aplicaciones HP HP Documentation; HP Setup Integrated OOBE; HP SSRM; HP Support Assistant; HP System Event Utility; HP Connection Optimizer; HP Privacy Settings; HP BIOS Recovery; HP QuickDrop; MyHP; HP Enhanced Lighting- Brillo 400 nits- Caché de procesador 12 MB L3- Cámara Web Cámara HP Wide Vision de infrarrojos y 5 MP con reducción de ruido temporal y micrófonos digitales integrados de doble matriz- Certificado Energy Star Certificación ENERGY STAR®- Chipset SoC integrado Intel®- Código UNSPSC 43211503- Color Plateado natural- Color de producto Aluminio de color plata natural- Colores de pantalla 1.07 billiones de colores- Diseño de memoria integrada- Diseño de productos Acabado anodizado y pulido con chorro de arena- Dispositivos de entrada Acelerómetro; Brújula electrónica; Giroscopio; Sensor térmico por infrarrojos- Duración de la batería Hasta 13 horas y 15 minutos- Duración de la batería para reproducción de video Hasta 15 horas y 30 minutos- Especificaciones de impacto sustentable Plástico de origen oceánico reciclado en las carcasas de los altavoces y el bisel; Metal recuperado e integrado en la tapa, en el marco del teclado, superior e inferior, en la base y las cubiertas de las bisagras; El teclado y las teclas tipo tijera son fabricados con material natural, renovable, reciclado y posconsumo- Especificaciones de nombre largo del producto V2 HP ENVY x360 2-in-1 Laptop 15, Windows 11 Home Single Language, 15.6"", Intel® CoreTM i7, 16GB RAM, 1TB Unidad de estado sólido, NVIDIA® GeForce RTXTM 3050, FHD, Plateado natural- Especificaciones del nombre corto del producto HP ENVY x360 2-en-1 Laptop 15-fe0001la, 15.6"", Intel® CoreTM i7, 16GB RAM, 1TB Unidad de estado sólido- Especificaciones y nombre del producto HP ENVY x360 2-en-1 Laptop 15-fe0001la, Windows 11 Home Single Language, 15.6"", Intel® CoreTM i7, 16GB RAM, 1TB Unidad de estado sólido, NVIDIA® GeForce RTXTM 3050, FHD, Plateado natural- Etiquetas ecológicas Registro EPEAT ® Gold- Familia del procesador Procesador Intel® CoreTM i7 de 13.a generación- Funciones de audio Audio de Bang &amp; Olufsen; DTS:X® Ultra; Dos altavoces; HP Audio Boost- Garantía del fabricante 1 año de garantía limitada de hardware con soporte técnico telefónico gratuito; 90 días de soporte técnico limitado para software (a partir de la fecha de compra)- Gestión de seguridad Tecla de silencio de micrófono; Obturador de privacidad de la cámara; Compatibilidad con Trusted Platform Module (Firmware TPM)- Inalámbrico Tarjeta inalámbrica de Realtek Wi-Fi 6E (2x2) y Bluetooth® 5.3 (compatible con velocidad de datos de Gigabit)- Memoria 16 GB de RAM LPDDR5-5500 MHz (incorporada)- Nombre de visualización del producto HP ENVY x360 2-in-1 Laptop 15- Nota sobre la memoria Velocidades de transferencia de hasta 5500 MT/s.- Nota sobre la red inalámbrica Modo de espera moderno (conectado)- Nota sobre tipo de batería [23]- Núcleo del procesador 10- Pantalla Pantalla multitáctil FHD, OLED, UWVA, con vidrio de lado a lado, microbordes y luz azul baja, de 39,6 cm (15,6"") en diagonal, 400 nits con SDR, 500 nits con HDR y 100 % de DCI-P3 (1920 x 1080)- Pantalla táctil Sí- Procesador Intel® CoreTM i7-1355U (hasta 5,0 GHz con tecnología Intel® Turbo Boost, 12 MB de caché L3, 10 núcleos y 12 subprocesos)- Puertos 2 USB con ThunderboltTM 4 Type-C® con velocidad de señalización de 40 Gbps (alimentación USB, DisplayPortTM 1.4, HP Sleep and Charge); 1 USB tipo-A con velocidad de señalización de 10 Gbps (HP Sleep and Charge); 1 USB tipo-A con velocidad de señalización de 10 Gbps; 1 HDMI 2.1; 1 combinación de auriculares y micrófono- Ranuras de expansión 1 lector de tarjetas SD multiformato- Relación ancho-alto 16:9- Relación de contraste de la pantalla (dinámico) 1000000:1- Relación pantalla-cuerpo (sin los altavoces) 88.34%- Se requiere registro No- Servicios en la nube Almacenamiento en Dropbox de 25 GB durante 12 meses- Sin oscilaciones Sí- Sistema operativo Windows 11 Home Single Language- Software - productividad y finanzas 1 mes de prueba para los nuevos clientes de Microsoft 365- Software incluido Concepts Basic incluido (1 mes de prueba gratuita de Concepts Everything); McAfee LiveSafeTM; Oferta de prueba gratuita de 1 mes de Adobe- Software preinstalado Duet® for HP (30 day free trial); ExpressVPN (30 day free trial); LastPass Premium (30 day free trial)- Tamaño de pantalla (diagonal) 39,6 cm (15,6"")- Teclado Teclado de tamaño completo, retroiluminado y de color gris suave- Tiempo de recarga de la batería Compatibilidad con carga rápida de batería: aproximadamente 50 % en 30 minutos- Tipo de almacenamiento Unidad de estado sólido- Tipo de batería Polímero de iones de litio de 4 celdas y 55 W/h- Tipo de fuente de alimentación Adaptador de corriente USB Type-C® de 90 W MÁS DETALLES:Peso del paquete: 1 kgMedidas: 30 cm x 6 cm x 52 cm cmModelo: 80S50LAMeses de garantía: 12Condición: NuevoColor: PlateadoNombre de color: PlateadoEAN: 197497512427GTIN: 197497512427MPN: 84A52LAResolución de pantalla: (1920x1200)Tamaño de pantalla: 16Unidad de memoría RAM: GbUnidad de velocidad del procesador: GHzCapacidad del disco duro: 1Unidad del tamaño de disco duro: GbPuertos HDMI: 1Unidad del tamaño de RAM de la tarjeta gráfica: GbSistema Operativo: Windows 11 HomeSKU: NT015HPR52",Hp,natural,0.7085778713226318,negocios,0.4798921048641205
9,9,0,Huawei,técnico,0.6067935824394226,personal,0.4459722340106964
